candidate_id,rank,score,reasoning
CAND_0077337,1,0.960134,"Staff Machine Learning Engineer with 7.0y experience; 15 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0081846,2,0.938688,"Lead AI Engineer with 6.7y experience; 17 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0046525,3,0.926533,"Senior Machine Learning Engineer with 6.1y experience; 14 core AI/IR skills (embeddings, sentence transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0039754,4,0.912406,"Senior Applied Scientist with 16.2y experience; 19 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0002025,5,0.911540,"Senior AI Engineer with 5.9y experience; 11 core AI/IR skills (embeddings, sentence transformers, retrieval, pinecone). strong role alignment; career shows production hybrid retrieval/recommendation system"
CAND_0079387,6,0.905208,"AI Engineer with 6.9y experience; 16 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
CAND_0018499,7,0.900680,"Senior Machine Learning Engineer with 7.2y experience; 15 core AI/IR skills (embeddings, bge, retrieval, dense retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0046064,8,0.892471,"Senior NLP Engineer with 8.9y experience; 17 core AI/IR skills (embeddings, bge, retrieval, semantic search). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0088025,9,0.875617,"Staff Machine Learning Engineer with 8.6y experience; 9 core AI/IR skills (bge, retrieval, rag, pinecone). strong role alignment; career shows production hybrid retrieval/ranking pipeline"
CAND_0069905,10,0.874964,"Applied ML Engineer with 6.6y experience; 15 core AI/IR skills (embeddings, sentence-transformers, sentence transformers, bge). strong role alignment; career shows production recommendation system/semantic search"
CAND_0005260,11,0.873751,"Senior NLP Engineer with 5.2y experience; 13 core AI/IR skills (embeddings, bge, retrieval, semantic search). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0011687,12,0.867032,"Senior NLP Engineer with 7.8y experience; 12 core AI/IR skills (embeddings, bge, retrieval, semantic search). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0055905,13,0.862846,"Senior Machine Learning Engineer with 8.1y experience; 16 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval. but note: London, UK (outside India)"
CAND_0050454,14,0.857346,"AI Engineer with 6.8y experience; 10 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0062247,15,0.854909,"AI Engineer with 7.3y experience; 14 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0008425,16,0.852407,"Senior NLP Engineer with 7.8y experience; 12 core AI/IR skills (sentence-transformers, sentence transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0099806,17,0.847159,"AI Engineer with 4.6y experience; 11 core AI/IR skills (embeddings, sentence transformers, retrieval, rag). strong role alignment; career shows production recommendation system"
CAND_0074225,18,0.847123,"Machine Learning Engineer with 4.3y experience; 11 core AI/IR skills (embeddings, retrieval, semantic search, rag). strong role alignment; career shows production recommendation system"
CAND_0071974,19,0.844007,"Senior AI Engineer with 7.8y experience; 14 core AI/IR skills (embeddings, sentence transformers, bge, retrieval). strong role alignment; career shows production hybrid retrieval/ranking pipeline"
CAND_0044222,20,0.834323,"AI Engineer with 7.7y experience; 13 core AI/IR skills (sentence-transformers, bge, retrieval, semantic search). strong role alignment; career shows production recommendation system/semantic search"
CAND_0040887,21,0.828619,"Machine Learning Engineer with 4.7y experience; 13 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search. but note: Toronto, Canada (outside India)"
CAND_0027691,22,0.827754,"NLP Engineer with 6.5y experience; 12 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0096142,23,0.820891,"Applied ML Engineer with 5.0y experience; 8 core AI/IR skills (embeddings, retrieval, rag, pinecone). strong role alignment; career shows production recommendation system"
CAND_0004402,24,0.820555,"AI Research Engineer with 6.0y experience; 8 core AI/IR skills (sentence transformers, retrieval, qdrant, opensearch). strong role alignment; career shows production re-rank/recommendation"
CAND_0054123,25,0.817446,"Applied ML Engineer with 4.7y experience; 13 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0035879,26,0.814902,"AI Research Engineer with 4.5y experience; 7 core AI/IR skills (retrieval, pinecone, elasticsearch, bm25). strong role alignment; career shows production re-rank/recommendation"
CAND_0005538,27,0.814724,"Senior AI Engineer with 5.9y experience; 5 core AI/IR skills (embeddings, retrieval, ranking, recommendation). strong role alignment; career shows production recommendation system"
CAND_0064326,28,0.812870,"Search Engineer with 7.6y experience; 10 core AI/IR skills (embeddings, retrieval, semantic search, rag). career shows production recommendation system; profile semantically matches the JD"
CAND_0045250,29,0.811670,"Applied ML Engineer with 6.6y experience; 9 core AI/IR skills (embeddings, sentence transformers, retrieval, qdrant). strong role alignment; career shows production recommendation system"
CAND_0030031,30,0.805772,"AI Engineer with 5.7y experience; 8 core AI/IR skills (embeddings, sentence transformers, rag, milvus). strong role alignment; career shows production recommendation system"
CAND_0086022,31,0.805754,"Senior Applied Scientist with 5.3y experience; 15 core AI/IR skills (embeddings, sentence transformers, bge, retrieval). strong role alignment; career shows production ndcg/hybrid retrieval"
CAND_0006418,32,0.803920,"Machine Learning Engineer with 5.7y experience; 11 core AI/IR skills (embeddings, retrieval, semantic search, rag). strong role alignment; career shows production recommendation system"
CAND_0043860,33,0.802268,"Junior ML Engineer with 6.1y experience; 7 core AI/IR skills (retrieval, semantic search, qdrant, vector search). strong role alignment; career shows production re-rank/recommendation"
CAND_0064904,34,0.801502,"AI Engineer with 4.9y experience; 8 core AI/IR skills (embeddings, retrieval, weaviate, opensearch). strong role alignment; career shows production recommendation system"
CAND_0030348,35,0.800511,"Machine Learning Engineer with 4.5y experience; 11 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0016659,36,0.800495,"ML Engineer with 4.4y experience; 8 core AI/IR skills (sentence transformers, retrieval, pinecone, weaviate). strong role alignment; career shows production re-rank/recommendation"
CAND_0057563,37,0.799318,"NLP Engineer with 6.8y experience; 12 core AI/IR skills (embeddings, sentence-transformers, bge, retrieval). strong role alignment; career shows production recommendation system/semantic search"
CAND_0092706,38,0.798338,"AI Research Engineer with 5.8y experience; 5 core AI/IR skills (sentence transformers, retrieval, ranking, recommendation). strong role alignment; career shows production re-rank/recommendation"
CAND_0007596,39,0.794948,"Junior ML Engineer with 4.4y experience; 7 core AI/IR skills (retrieval, semantic search, weaviate, vector search). strong role alignment; career shows production re-rank/recommendation"
CAND_0020991,40,0.794425,"Junior ML Engineer with 4.9y experience; 7 core AI/IR skills (retrieval, semantic search, weaviate, opensearch). strong role alignment; career shows production re-rank/recommendation"
